Te,ssd
2020-06-30,0.1832000792843692
2020-07-01,0.1817249834105692
2020-07-02,0.18069565635317325
2020-07-03,0.18254914751704432
2020-07-04,0.18416800206114556
2020-07-05,0.18602371121108313
2020-07-06,0.1884298656853905
2020-07-07,0.1918840264895403
2020-07-08,0.19264032698331066
2020-07-09,0.19329871075342425
2020-07-10,0.19127131445406584
2020-07-11,0.19540745681330143
2020-07-12,0.19786733128722472
2020-07-13,0.20147587650245397
2020-07-14,0.2015818985203379
2020-07-15,0.20452603867577285
2020-07-16,0.2100159506825666
2020-07-17,0.21744490751328205
2020-07-18,0.21897386233370653
2020-07-19,0.22315874901877678
2020-07-20,0.22706542369086993
2020-07-21,0.2328474535504346
2020-07-22,0.2407085052054517
2020-07-23,0.2513411011581128
2020-07-24,0.2625604512983572
2020-07-25,0.27406772527820505
2020-07-26,0.28730473304343007
2020-07-27,0.29637133706045465
2020-07-28,0.3028027338512436
2020-07-29,0.30615557823874867
2020-07-30,0.3078386902709958
2020-07-31,0.3199143071029802
2020-08-01,0.33750606754072543
2020-08-02,0.3531509419602929
2020-08-03,0.3772443467460346
2020-08-04,0.40608313095429976
2020-08-05,0.44089391008332723
2020-08-06,0.48467213330814346
2020-08-07,0.5249921255602358
2020-08-08,0.5751014046116742
2020-08-09,0.6305447348569744
2020-08-10,0.6880858129158784
2020-08-11,0.7559263010868277
2020-08-12,0.8325535779264639
2020-08-13,0.9169241845071608
2020-08-14,1.0172461258077796
2020-08-15,1.1180603534323694
2020-08-16,1.2466177262292042
2020-08-17,1.3761238381273329
2020-08-18,1.502717924458621
2020-08-19,1.626552063545932
2020-08-20,1.8067164796283042
2020-08-21,1.9855178934489712
2020-08-22,2.152540354826624
2020-08-23,2.2964392213538036
2020-08-24,2.4435591048128096
2020-08-25,2.5944724002698596
2020-08-26,2.74732383077755
2020-08-27,2.828348715229677
2020-08-28,2.8918828116936672
2020-08-29,3.0103385576274384
2020-08-30,3.1254135248865844
2020-08-31,3.258191465786694
2020-09-01,3.4054586834112914
