Te,nnCe
2020-07-22,470.2383708751441
2020-07-23,483.38776768086655
2020-07-24,496.5284425028921
2020-07-25,510.67080360640875
2020-07-26,524.5273520133981
2020-07-27,538.5140592540173
2020-07-28,552.1297467266093
2020-07-29,565.4757236264221
2020-07-30,579.0484721023528
2020-07-31,592.4836816046025
2020-08-01,605.2868827497425
2020-08-02,618.884455333118
2020-08-03,631.9090606797934
2020-08-04,645.473087172027
2020-08-05,659.3866639339574
2020-08-06,673.5605583631472
2020-08-07,687.8726626878407
2020-08-08,701.8432678047119
2020-08-09,715.814543843406
2020-08-10,730.6331941443392
2020-08-11,744.7929992152497
2020-08-12,758.7421348337901
2020-08-13,772.4792591563149
2020-08-14,786.3270855796076
2020-08-15,800.5747814093091
2020-08-16,814.4447482527551
2020-08-17,827.9618102173907
2020-08-18,841.5110764295221
2020-08-19,854.924816433441
2020-08-20,868.4854883165607
2020-08-21,882.0414637469204
2020-08-22,896.0966050134687
2020-08-23,910.0618427557572
2020-08-24,924.0706904165299
2020-08-25,938.0540430480348
2020-08-26,952.182314793272
2020-08-27,965.8932731647064
2020-08-28,979.7390868225305
2020-08-29,993.1877147612369
2020-08-30,1006.6564703546283
2020-08-31,1019.4341764705006
2020-09-01,1031.8784344404246
2020-09-02,1044.8359476048165
2020-09-03,1058.0893372930782
2020-09-04,1071.1421213563124
2020-09-05,1083.1395453922291
2020-09-06,1094.1876150488356
2020-09-07,1105.9596093522798
2020-09-08,1118.1274475311961
2020-09-09,1130.4133679509314
2020-09-10,1142.126992055789
2020-09-11,1154.1935210394574
2020-09-12,1166.9027931294008
2020-09-13,1180.3749033319066
2020-09-14,1193.4364093788377
2020-09-15,1206.2080771983044
2020-09-16,1218.1632331593826
2020-09-17,1230.0989323875983
2020-09-18,1241.6367749748736
2020-09-19,1253.4631139459675
2020-09-20,1265.351177724762
2020-09-21,1276.6897565306558
2020-09-22,1288.96360035758
2020-09-23,1301.2689775101771
2020-09-24,1313.7253120729122
2020-09-25,1326.4345841628553
2020-09-26,1339.221012262425
2020-09-27,1351.8712432319587
2020-09-28,1365.0924286727243
2020-09-29,1377.5735873429041
2020-09-30,1390.4398551393904
2020-10-01,1402.9055826076453
2020-10-02,1415.2029086983687
2020-10-03,1427.1674575649663
