Te,nnCc
2020-07-28,726.1420261356336
2020-07-29,740.44874390062
2020-07-30,754.5017964570072
2020-07-31,771.3451663079841
2020-08-01,789.0002648264779
2020-08-02,806.8075624701311
2020-08-03,826.1368513653784
2020-08-04,846.9881315122201
2020-08-05,869.361402910656
2020-08-06,893.7132629361647
2020-08-07,916.9997290855572
2020-08-08,941.6559873613847
2020-08-09,966.9210421378497
2020-08-10,992.9470925401121
2020-08-11,1019.7341385681715
2020-08-12,1047.282180222028
2020-08-13,1075.2868192513629
2020-08-14,1105.2700469077704
2020-08-15,1134.948876313859
2020-08-16,1167.5194890979767
2020-08-17,1198.9232419225389
2020-08-18,1229.1601347875453
2020-08-19,1258.2301676929962
2020-08-20,1293.5403647299838
2020-08-21,1327.6329687656955
2020-08-22,1360.0513824246539
2020-08-23,1389.2736144552641
2020-08-24,1418.3943804024348
2020-08-25,1447.4136802661658
2020-08-26,1476.331514046457
2020-08-27,1497.715491131357
2020-08-28,1517.5013774020827
2020-08-29,1541.8532374275912
2020-08-30,1565.7104502963316
2020-08-31,1590.2398759678597
2020-09-01,1615.4415144421748
2020-09-02,1641.315365719278
2020-09-03,1667.7219139344384
2020-09-04,1695.7265529637734
2020-09-05,1718.7086208628473
2020-09-06,1741.5765394180514
2020-09-07,1762.6053852109126
2020-09-08,1781.7951582414305
2020-09-09,1799.1458585096054
2020-09-10,1817.7141517790556
2020-09-11,1836.4346441736654
2020-09-12,1854.9268378805357
