Te,d_nnC
2020-10-04,1048.23816839429
2020-10-05,1055.27320201009
2020-10-06,1057.6729432756
2020-10-07,1055.4165936143
2020-10-08,1053.7238959289
2020-10-09,1052.83638207561
2020-10-10,1051.43957590335
2020-10-11,1051.12879939965
2020-10-12,1050.53556480854
2020-10-13,1049.95440681023
2020-10-14,1049.698645896
2020-10-15,1048.71831189702
2020-10-16,1047.211512019
2020-10-17,1044.59722796336
2020-10-18,1040.14526343313
2020-10-19,1035.25689461548
2020-10-20,1030.75668443069
2020-10-21,1026.47354781392
2020-10-22,1021.77975895582
2020-10-23,1017.18229744361
2020-10-24,1012.92373659128
2020-10-25,1009.07851166758
2020-10-26,1005.50788535285
2020-10-27,1000.56273180657
2020-10-28,996.271918620985
2020-10-29,992.723493443087
2020-10-30,988.478381005761
2020-10-31,983.969626270604
2020-11-01,980.347059134787
2020-11-02,976.58334139936
2020-11-03,974.200794680331
2020-11-04,970.664005409213
2020-11-05,966.413455447224
2020-11-06,962.792400433756
2020-11-07,958.541920621847
2020-11-08,953.478383689286
2020-11-09,948.575454089198
2020-11-10,942.967642670127
2020-11-11,937.490247101502
2020-11-12,932.470690623377
2020-11-13,928.053421684909
2020-11-14,923.325515942469
2020-11-15,919.559011193605
2020-11-16,916.946318503791
2020-11-17,915.476332587912
2020-11-18,913.847495088212
2020-11-19,911.878129688385
2020-11-20,909.732211720527
2020-11-21,908.180530230454
2020-11-22,907.478946861446
2020-11-23,905.968432031348
2020-11-24,904.557784424229
2020-11-25,903.724385002801
2020-11-26,903.460853627015
2020-11-27,903.649223173948
2020-11-28,904.15326653502
2020-11-29,903.108281514335
2020-11-30,901.801907390073
2020-12-01,899.148908028032
2020-12-02,894.877845486563
2020-12-03,889.868583672001
2020-12-04,883.787318891718
2020-12-05,878.179724918356
2020-12-06,872.701718985426
2020-12-07,867.933818748381
2020-12-08,865.784321332327
2020-12-09,864.996665109458
2020-12-10,865.037181834022
2020-12-11,867.744152332767
2020-12-12,869.981077041032
2020-12-13,874.085788146978
2020-12-14,878.154439753195
2020-12-15,878.826033698709
2020-12-16,878.420057046672
2020-12-17,877.096189190919
2020-12-18,873.98645754995
2020-12-19,869.521023140825
2020-12-20,863.68221176036
2020-12-21,858.40513222431
2020-12-22,856.89750193918
2020-12-23,856.887769677111
2020-12-24,857.790891608591
2020-12-25,861.153653114116
2020-12-26,865.353494818746
2020-12-27,867.965024139944
2020-12-28,868.30121713113
2020-12-29,870.196302074165
2020-12-30,875.767833552802
2020-12-31,885.117791684111
2021-01-01,891.968726111077
2021-01-02,899.853721345732
2021-01-03,904.871827459883
2021-01-04,909.936026922561
2021-01-05,909.838514223315
2021-01-06,903.901828599786
2021-01-07,894.533608088254
2021-01-08,887.970121396486
2021-01-09,878.777592466903
2021-01-10,872.376008384677
2021-01-11,866.527604441872
2021-01-12,860.25823213028
2021-01-13,852.695753037304
2021-01-14,841.413072393801
2021-01-15,830.426168145545
2021-01-16,822.581331093779
2021-01-17,813.355025837262
2021-01-18,803.42800779038
2021-01-19,792.727046345819
2021-01-20,781.935780862502
2021-01-21,773.525216413929
2021-01-22,763.905009897328
2021-01-23,751.346826525548
2021-01-24,739.816735815133
2021-01-25,727.261035873396
2021-01-26,716.735460228203
2021-01-27,707.479824475739
2021-01-28,699.208971852027
2021-01-29,689.879835084923
2021-01-30,682.287014016768
2021-01-31,675.573601179645
2021-02-01,671.349588905555
2021-02-02,668.794314494284
2021-02-03,668.716268720892
2021-02-04,666.635050641764
2021-02-05,666.314371597289
2021-02-06,668.465408719668
2021-02-07,672.329843747703
2021-02-08,677.592333231669
2021-02-09,684.079619255563
2021-02-10,692.461251820027
2021-02-11,705.802672733591
2021-02-12,719.668577911214
2021-02-13,734.236761635942
2021-02-14,749.681840183117
2021-02-15,765.768990914743
2021-02-16,782.23521247627
2021-02-17,795.848674447107
2021-02-18,808.101142747982
2021-02-19,834.620620641823
2021-02-20,858.043244842053
2021-02-21,879.576674629775
2021-02-22,904.921708151775
2021-02-23,935.257155050769
2021-02-24,969.072920196281
2021-02-25,1004.65247885694
2021-02-26,1023.59570890502
2021-02-27,1048.81257902571
2021-02-28,1078.77338746293
2021-03-01,1109.8121670122
2021-03-02,1133.51930774207
2021-03-03,1154.49986715177
2021-03-04,1174.22818605418
2021-03-05,1197.24157862998
2021-03-06,1215.10138505208
2021-03-07,1224.21810341826
2021-03-08,1227.64853869268
2021-03-09,1227.14245019303
2021-03-10,1222.2416582714
2021-03-11,1210.19572880785
2021-03-12,1190.94159515103
2021-03-13,1166.51638640532
2021-03-14,1138.92488712742
2021-03-15,1103.11638764203
2021-03-16,1064.46391050675
2021-03-17,1024.15492739088
