Te,nnCc
2020-11-04,2677.33481067951
2020-11-05,2679.76999668206
2020-11-06,2682.96617831041
2020-11-07,2686.31455906391
2020-11-08,2689.51074069226
2020-11-09,2692.65618927889
2020-11-10,2695.7509048238
2020-11-11,2698.79488732699
2020-11-12,2702.44766633081
2020-11-13,2706.40484358496
2020-11-14,2710.3620208391
2020-11-15,2715.38459196937
2020-11-16,2722.03062043466
2020-11-17,2729.84350885951
2020-11-18,2737.7578633678
2020-11-19,2745.21562050061
2020-11-20,2752.82557675858
2020-11-21,2760.73993126688
2020-11-22,2770.63287440224
2020-11-23,2780.22141928728
2020-11-24,2789.96216329749
2020-11-25,2800.84440074638
2020-11-26,2812.86813163398
2020-11-27,2825.34845989705
2020-11-28,2839.35077941172
2020-11-29,2852.13550592511
2020-11-30,2865.52902893914
2020-12-01,2878.54205414027
2020-12-02,2891.25068109108
2020-12-03,2903.73100935416
2020-12-04,2914.99374461596
2020-12-05,2926.25647987775
2020-12-06,2937.36701601439
2020-12-07,2949.08634865167
2020-12-08,2964.68675898051
2020-12-09,2981.50476231063
2020-12-10,2999.46425907944
2020-12-11,3020.16334010112
2020-12-12,3041.47121762344
2020-12-13,3064.90988289799
2020-12-14,3089.10954379834
2020-12-15,3109.50422656971
2020-12-16,3128.98571459011
2020-12-17,3147.55400785956
2020-12-18,3164.90470812774
2020-12-19,3180.88561626948
2020-12-20,3196.86652441122
2020-12-21,3213.60842817875
2020-12-22,3233.08991619916
2020-12-23,3251.96260771893
2020-12-24,3270.22650273806
2020-12-25,3290.46898638427
2020-12-26,3312.08126215691
2020-12-27,3332.01934755279
2020-12-28,3350.28324257192
2020-12-29,3370.06912884265
2020-12-30,3393.73609280494
2020-12-31,3421.2841344588
2021-01-01,3446.54918923526
2021-01-02,3472.57523963752
2021-01-03,3496.62270141271
2021-01-04,3520.97456143822
2021-01-05,3542.73903633602
2021-01-06,3562.6771217319
2021-01-07,3581.24541500136
2021-01-08,3603.46648727463
2021-01-09,3625.23096217243
2021-01-10,3650.19161869858
2021-01-11,3676.67426647632
2021-01-12,3703.61351162953
2021-01-13,3728.878566406
2021-01-14,3752.01283343023
2021-01-15,3775.29929957963
2021-01-16,3800.41215523093
2021-01-17,3823.54642225516
2021-01-18,3846.07189277876
2021-01-19,3868.14076592688
2021-01-20,3890.81843557563
2021-01-21,3914.10490172503
2021-01-22,3936.3259739983
2021-01-23,3955.50306376839
2021-01-24,3976.35434391523
2021-01-25,3995.83583193564
2021-01-26,4014.93682214315
2021-01-27,4034.72270841387
2021-01-28,4055.72618768587
2021-01-29,4075.05547658112
2021-01-30,4095.45015935248
2021-01-31,4115.08384649805
2021-02-01,4138.37031264744
2021-02-02,4162.95047136069
2021-02-03,4187.75892876168
2021-02-04,4212.26298791234
2021-02-05,4238.74563569009
2021-02-06,4267.2068720949
2021-02-07,4297.72971483142
2021-02-08,4327.27018139645
2021-02-09,4358.11125866739
2021-02-10,4391.31834052036
2021-02-11,4426.89142695535
2021-02-12,4462.54753109497
2021-02-13,4498.28665293923
2021-02-14,4534.02577478348
2021-02-15,4569.76489662774
2021-02-16,4605.50401847199
2021-02-17,4641.24314031625
2021-02-18,4675.68165145459
2021-02-19,4724.80046002877
2021-02-20,4772.39035920931
2021-02-21,4818.45134899619
2021-02-22,4870.66948520998
2021-02-23,4929.04476785067
2021-02-24,4988.25022753769
2021-02-25,5049.58647497694
2021-02-26,5095.85500902541
2021-02-27,5147.45051245445
2021-02-28,5204.37298526408
2021-03-01,5261.59985632403
2021-03-02,5311.90166718922
2021-03-03,5360.60538724023
2021-03-04,5409.76570466673
2021-03-05,5460.60021246998
2021-03-06,5506.18385045523
2021-03-07,5545.60342387152
2021-03-08,5579.23943053175
2021-03-09,5610.66854987718
2021-03-10,5637.75999415555
2021-03-11,5658.45907517724
2021-03-12,5672.76579294222
2021-03-13,5683.41973170338
2021-03-14,5691.33408621167
2021-03-15,5693.4648739639
2021-03-16,5693.4648739639
2021-03-17,5693.4648739639
2021-03-18,5693.4648739639
2021-03-19,5693.4648739639
2021-03-20,5693.4648739639
