Te,nnCe
2020-05-23,29.7627629827365
2020-05-24,31.591024949959
2020-05-25,33.6641733825158
2020-05-26,35.8359473230293
2020-05-27,38.0446219637986
2020-05-28,40.5914412032763
2020-05-29,43.0792193223445
2020-05-30,45.3757847219051
2020-05-31,48.058801091418
2020-06-01,50.9759691771
2020-06-02,54.1715698192581
2020-06-03,57.7334937766835
2020-06-04,61.2484532065105
2020-06-05,64.7459686689438
2020-06-06,68.2099380402355
2020-06-07,71.8939697694167
2020-06-08,75.5263405182396
2020-06-09,79.6263437775778
2020-06-10,83.4338251221604
2020-06-11,87.2433192322116
2020-06-12,91.164857286676
2020-06-13,95.1380563214986
2020-06-14,99.0602652977858
2020-06-15,103.393078429647
2020-06-16,107.382379588218
2020-06-17,111.8715175048
2020-06-18,116.07148811574
2020-06-19,120.895416021916
2020-06-20,126.177583533088
2020-06-21,131.542274428468
2020-06-22,136.817732721411
2020-06-23,145.431698004776
2020-06-24,154.597161026511
2020-06-25,164.728080551303
2020-06-26,174.75567811538
2020-06-27,184.889281327463
2020-06-28,195.785722652109
2020-06-29,207.820718310105
2020-06-30,217.522247868283
2020-07-01,227.58070783621
2020-07-02,238.008174806695
2020-07-03,248.583244578204
2020-07-04,259.248217873972
2020-07-05,270.285552781413
2020-07-06,281.125636672941
2020-07-07,292.353513378067
2020-07-08,304.332822524767
2020-07-09,316.119577108314
2020-07-10,327.656748773766
2020-07-11,339.562927441777
2020-07-12,351.622747207217
2020-07-13,363.434996820032
2020-07-14,374.964788345433
2020-07-15,386.412056486626
2020-07-16,397.898909015366
2020-07-17,409.512565768621
2020-07-18,420.86657577644
2020-07-19,432.091768794275
2020-07-20,444.234111943923
2020-07-21,457.344595283922
2020-07-22,470.238370875144
2020-07-23,483.387767680867
2020-07-24,496.528442502892
2020-07-25,510.670803606409
2020-07-26,524.527352013398
2020-07-27,538.514059254017
2020-07-28,552.129746726609
2020-07-29,565.475723626422
2020-07-30,579.048472102353
